,지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
0,90,1968-01-01,,속초,강원도 고성군토성면 봉포5길9 속초자동기상관측소 ,속초기상대(90),38.2509,128.5647,17.53,18.73,1.7,10.0,1.4
1,93,2016-10-01,,북춘천,강원도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9474,127.7544,95.78,96.78,1.5,10.0,1.4
2,95,1988-01-01,,철원,강원도 철원군갈말읍 명성로179번길 26 철원자동기상관측소,춘천기상대(101),38.1479,127.3042,155.48,156.98,1.8,13.0,1.5
3,98,1998-02-01,,동두천,경기도 동두천시방죽로 16-47동두천서비스센터  ,수도권기상청(119),37.9019,127.0607,115.62,116.74,1.7,10.0,1.0
4,99,2013-10-22,,파주,경기도 파주시문산읍 마정로46-29(파주기상대)  ,수도권기상청(119),37.8859,126.7665,30.59,31.99,1.7,10.0,1.0
5,99,2001-12-07,2013-10-22,문산,경기도 파주시문산읍 마정로46-29(파주기상대)  ,파주기상대(99),37.8859,126.7665,29.42,31.4,1.7,10.0,0.5
6,100,2006-11-07,,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,대관령기상대(100),37.6771,128.7183,772.43,773.43,1.7,10.0,1.4
7,100,1971-07-15,2006-11-06,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,,37.6869,128.7587,842.52,843.96,1.5,10.0,1.6
8,101,1966-01-01,,춘천,강원도 춘천시충열로 91번길12 춘천자동기상관측소 ,춘천기상대(101),37.9026,127.7357,75.82,77.05,1.5,10.0,1.4
9,102,2018-05-01,,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.974,124.7124,36.0,37.2,1.8,9.0,1.2
10,102,2000-11-01,2018-05-01,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,146.0,147.2,1.8,9.0,1.2
11,104,2008-07-28,,북강릉,강원도 강릉시사천면 과학단지로130 강원지방기상청 ,강릉(구 105),37.8046,128.8554,75.24,76.67,1.7,10.0,1.4
12,105,1911-10-03,,강릉,강원도 강릉시용강동 63-20강릉자동기상관측소  ,강릉(구 105),37.7515,128.891,27.12,28.22,1.7,10.0,0.5
13,106,1992-05-01,,동해,강원도 동해시중앙로 31동해자동기상관측소  ,동해기상대(106),37.5071,129.1243,40.46,41.66,1.7,10.0,1.4
14,108,2010-08-16,,서울,서울특별시 종로구송월길 52서울기상관측소  ,서울기상관측소(108),37.5714,126.9658,85.67,86.67,1.5,10.0,0.5
15,108,1907-10-01,2010-08-15,서울,서울특별시 종로구송월길 52서울기상관측소  ,서울기상관측소(108),37.5714,126.9658,85.5,86.5,1.5,10.0,0.6
16,112,2013-10-22,,인천,인천광역시 중구 자유공원서로 61인천기상대(전동),인천기상대(112),37.4777,126.6249,68.99,70.19,1.6,10.0,1.2
17,112,1904-08-29,2013-10-22,인천,인천광역시 중구 자유공원서로 61인천기상대(전동),인천기상대(112),37.4776,126.6244,68.15,70.15,1.5,10.0,0.6
18,114,1971-09-06,,원주,강원도 원주시단구로 159원주자동기상관측소  ,원주기상대(114),37.3375,127.9466,150.11,151.11,1.7,14.0,1.4
19,115,1938-08-10,,울릉도,경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.4813,130.8986,221.14,223.7,1.6,10.0,1.3
20,116,1984-01-01,1990-12-31,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4442,126.9639,626.76,627.96,1.4,3.9,1.1
21,119,2019-07-24,,수원,경기도 수원시권선구 권선로276  ,,37.2575,126.983,39.81,40.81,1.6,18.7,1.1
22,119,1964-01-01,2019-07-24,수원,경기도 수원시권선구 권선로276  ,수도권기상청(119),37.2723,126.9853,34.84,35.84,1.6,18.7,1.1
23,121,1994-12-01,,영월,강원도 영월군영월읍 영월로 1894-25 영월자동기상관측소,영월기상대(121),37.1813,128.4574,240.54,242.05,1.7,10.0,1.4
24,127,1972-01-01,,충주,충청북도 충주시안림로 55(안림동 521-5번지) ,청주기상대(131),36.9705,127.9525,114.85,116.25,1.65,10.0,1.0
25,129,1968-01-01,,서산,충청남도 서산시수석1길 124-1  ,홍성기상대(서산 129),36.7766,126.4939,25.25,26.55,1.6,20.2,1.1
26,130,2020-12-04,,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,안동기상대(136),36.9918,129.4128,48.98,50.18,1.75,10.0,1.3
27,130,1971-01-12,2020-12-04,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,대구(구 143),36.9918,129.4128,48.98,50.18,1.75,10.0,1.3
28,131,1967-01-01,,청주,충청북도 청주시흥덕구 공단로76 청주기상지청 ,청주기상대(131),36.6392,127.4407,58.7,60.1,1.7,10.0,0.8
29,133,1969-01-01,,대전,대전광역시 유성구대학로 383(대전광역시 유성구 구성동22),대전지방기상청(133),36.372,127.3721,67.79,68.49,1.4,23.7,1.0
30,135,1937-01-11,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2203,127.9946,244.98,246.18,1.6,10.0,1.1
31,136,1983-01-01,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,142.76,1.8,10.0,1.3
32,136,1973-01-01,1978-05-01,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,,36.573,128.7073,139.39,141.4,1.5,10.0,0.6
33,137,2002-01-01,,상주,경상북도 상주시남산2길 322상주지역기상서비스센터  ,대구(구 143),36.4084,128.1574,96.58,97.98,1.8,10.0,1.4
34,138,1943-01-01,,포항,경상북도 포항시남구 송도로70 포항관측소 ,포항기상대(138),36.032,129.38,3.94,4.92,1.6,10.0,1.2
35,140,2003-12-31,,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,전주기상대(146),36.0053,126.7614,27.85,24.6,1.7,10.0,1.0
36,140,1968-01-01,2003-12-01,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,,35.993,126.7057,25.57,30.74,1.5,18.0,0.6
